,Quantity,Sales,Discount,Profit,Shipping_Days
Quantity,1.0,0.5449021744836149,-0.02164214096163738,0.30993170254548447,0.0055729223794327805
Sales,0.5449021744836149,1.0,-0.004012790029917069,0.5842493451109996,0.00780495742721592
Discount,-0.02164214096163738,-0.004012790029917069,1.0,-0.4713061717065737,0.005034011946611867
Profit,0.30993170254548447,0.5842493451109996,-0.4713061717065737,1.0,-0.01219482212586866
Shipping_Days,0.0055729223794327805,0.00780495742721592,0.005034011946611867,-0.01219482212586866,1.0
